Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainToday,RainTomorrow
MountGinini,-2.3,9.4,0,,,NNE,46,NNE,11,64,,,7.5,No,Yes
Tuggeranong,6.8,13.8,,,,W,46,NW,26,59,1004.6,,11.3,,Yes
Dartmoor,6.5,14.3,8.4,0.4,5.6,SW,31,SW,17,,1023.2,,12.5,Yes,Yes
Dartmoor,9.4,12.9,4.2,0.8,,N,70,NW,31,90,996.2,,12.5,Yes,Yes
Mildura,12.5,24.2,0,8,7.2,S,30,SW,15,29,1017.1,7,23.1,No,No
Launceston,3.1,14,0.2,,,NNW,52,NNW,20,75,1014.9,,13.4,No,Yes
Dartmoor,12,26.7,0,2.6,5.7,N,41,N,19,,1011.9,,25.7,No,No
NorfolkIsland,15.7,24.3,0,6.2,,ENE,30,ESE,15,61,1017.9,7,21.6,No,No
Canberra,-0.5,13.9,0,1.4,1.3,NE,28,E,15,73,1025.3,7,11.9,No,Yes
Brisbane,19.4,27.3,4.2,6.8,8.1,E,31,ENE,13,56,1010.5,7,26.8,Yes,Yes
WaggaWagga,7.6,13.4,0,1,0.2,WNW,41,NNE,17,84,1006.3,7,12.3,No,Yes
Watsonia,12.5,17.5,10,10,4.4,W,57,NW,20,58,1012,7,15.8,Yes,Yes
MountGambier,10.9,32.5,0,5.2,10.7,NW,33,NNW,17,24,1012.4,1,31.4,No,No
BadgerysCreek,12.9,29.2,0,,,SSE,30,SE,19,52,1023.2,,27.3,No,Yes
Perth,20.8,30,0,10.2,6,SSE,37,W,15,54,1007.6,6,27.5,No,No
Perth,20.2,41.1,0,11.6,11.3,ENE,31,W,13,10,1007.2,1,39.6,No,No
BadgerysCreek,11,19.4,0.2,,,SSW,22,S,13,68,1014.1,,18.3,No,No
PearceRAAF,7.5,19.6,0,,0.5,E,30,ESE,19,50,1024.9,6,18.9,No,No
Perth,23.7,36.5,0,9.6,12.3,SSW,31,WSW,13,38,1008.6,1,33.8,No,No
Hobart,4.4,14.2,0,1.2,6.8,SW,48,SSW,13,48,1027.6,2,12.7,No,No
Brisbane,20.9,29,34,5,5.5,E,30,ESE,9,65,1014,7,25.4,Yes,No
NorfolkIsland,14,17.6,1.6,5,8.2,SSW,76,SW,39,63,1012,4,17.2,Yes,No
Perth,13.2,27.4,0,5.4,10.8,SSW,35,SSW,19,45,1016.1,0,25.5,No,No
NorahHead,21.5,29.1,0,,,N,28,N,6,73,1012.1,,26.5,No,No
Canberra,16.4,32.3,0,7.4,,,,,,29,,,30.3,No,No
Dartmoor,14.1,37.5,0,,,SSW,35,NW,11,21,1007.5,,36,No,No
Hobart,15.6,22.7,0,6.6,9.2,SE,39,SE,20,51,1021.7,1,22.1,No,No
Penrith,17.6,31.4,0,,,E,33,E,6,36,,,30.2,No,No
Nuriootpa,11.9,22.2,0,4.8,2.2,WSW,35,WSW,19,39,1013.1,8,19.9,No,No
Witchcliffe,10.6,13.6,19.6,,,NW,78,WSW,22,72,1003.8,,10.9,Yes,Yes
Richmond,7.6,29.2,0,,,ENE,30,NE,15,32,1021.6,,28.1,No,No
Canberra,6.7,11.7,6.8,,,S,35,WNW,7,98,1008.1,8,10.6,Yes,Yes
Perth,8.1,14.3,24,2.8,4.9,WSW,63,WNW,22,59,1002.2,4,12.5,Yes,Yes
MountGinini,6.5,17.7,0,,,WSW,39,WNW,15,53,,,17,No,No
Dartmoor,8.3,30.8,0,,,NNW,72,NNW,28,39,1004.8,,28.6,No,Yes
Brisbane,20.8,29.5,0,8,9.3,ENE,24,NE,9,50,1010.3,4,28.3,No,Yes
Uluru,6.6,28.4,0,,,SSW,31,S,17,8,1011.6,,27.3,No,No
Woomera,7.8,16,0.2,3.6,,NNE,44,N,17,64,1010.9,8,13.8,No,Yes
Portland,7.1,12.8,30.2,0.4,0,SE,56,SSE,24,92,1013,8,11.9,Yes,Yes
AliceSprings,27.5,43.9,0,18.8,13.3,N,46,N,15,6,1004.2,1,42.4,No,No
Albany,15.8,19.5,0,4.6,3.2,,,,,,1018.3,,,No,No
Melbourne,9,18.4,0.4,3.2,7.4,NNW,50,NNW,20,47,1009.6,5,17.2,No,No
MelbourneAirport,13,27.8,0,3,9.9,SSE,44,SSE,26,44,1017.3,5,26.6,No,No
Sydney,21.1,30.2,0,7.2,6.4,E,33,E,28,76,1007.4,6,23.6,No,Yes
Ballarat,3.3,5.2,2.4,,,N,44,N,31,99,1008,7,4.8,Yes,Yes
PearceRAAF,11.1,24.8,,,9.3,NNW,33,NNW,20,43,1017.3,1,22.8,,Yes
Canberra,12.6,22.3,0,7.2,10,ENE,39,N,17,46,1014.5,,20.8,No,No
Hobart,6,10.7,0,1.4,0.3,SE,31,SE,13,76,1029.3,,10.1,No,No
Sydney,13.5,23.4,5.4,6.6,13.1,SSE,52,SE,26,39,1011.8,1,21.8,Yes,No
Cobar,0.8,14,1.6,0.6,,WSW,30,WSW,17,44,1018.1,4,13.5,Yes,No
Richmond,19.8,25.6,2.8,5.6,,ESE,56,WSW,26,93,1018.3,8,16.8,Yes,Yes
Sydney,10.3,17.5,28.6,,2.2,ESE,46,WNW,22,74,1004.2,7,17,Yes,Yes
Adelaide,16.3,34.6,0,,,ESE,30,WSW,15,19,1013.4,,34.2,No,No
PerthAirport,19.8,32.6,10.2,8.6,4.8,E,67,SSW,20,89,1015.5,7,23.1,Yes,Yes
Wollongong,11.4,18.5,0,,,ENE,37,NE,33,68,1026.1,,17.4,No,No
Canberra,6.3,17.9,0,6,10.8,NW,50,WNW,31,43,1012.2,3,16.9,No,No
Mildura,9.6,31,0,4.6,10.2,N,26,N,11,22,1022.8,1,29.9,No,No
Walpole,7.5,14.1,0,,,SSE,22,SSE,9,68,1027.7,,13,No,No
Townsville,20.1,23.9,6.4,3.8,0,SSE,26,ESE,17,95,1011.5,8,21.7,Yes,Yes
Penrith,6.5,26.7,0,,,WNW,52,WNW,26,29,,,23.4,No,Yes
NorfolkIsland,17.6,22.9,1.6,,,NE,56,E,26,76,1014.9,8,20.4,Yes,Yes
Nuriootpa,5.9,18.2,0,1,7.4,NNW,33,NNW,20,47,1016.6,6,17.4,No,No
PerthAirport,11.1,26.1,0,7,6.9,W,31,W,20,37,1008.5,3,25.4,No,Yes
Wollongong,13.3,21.8,0,,,NE,30,ENE,15,55,1011.7,,21.3,No,Yes
Tuggeranong,6.7,20.4,0,,,NW,50,W,28,42,1004.3,,18.4,No,No
Canberra,20,32.4,42,10,5.1,WNW,70,NW,28,52,1007.8,5,30,Yes,Yes
Bendigo,17.8,41.5,0,10.1,,NW,69,W,31,19,1008.7,,36.1,No,Yes
Adelaide,9.5,13.6,4.2,3.2,,E,44,E,13,74,1006.9,,11.9,Yes,Yes
NorahHead,17.8,20.7,61.8,,,ENE,69,ENE,43,93,1017.6,,19.6,Yes,Yes
Melbourne,7.3,22.8,0,2,5,N,54,NNE,24,32,1018,7,22.5,No,No
Nhil,1.5,22.7,0.6,,,ENE,30,SSE,11,24,1024.2,,19.9,No,No
SalmonGums,5.8,20.6,0,,,NE,35,NE,15,35,,,20,No,No
Watsonia,8.3,24.2,0,3.6,5.4,W,54,NE,11,85,1012.3,7,19.2,No,Yes
NorahHead,14.8,18.9,4.6,,,S,44,S,31,68,1019.7,,18.5,Yes,Yes
Canberra,8.6,20.3,0,3.2,11.1,N,28,N,13,53,1024.6,1,19.3,No,No
Bendigo,9,22.4,0,,,N,35,N,19,51,1015.8,8,21.4,No,No
Mildura,9.3,18.7,0,7.2,11.9,S,33,S,17,31,1021.6,1,17.3,No,No
Portland,9.5,14.7,7,1.8,3.2,NNW,52,NNE,30,78,1008.2,,13.8,Yes,Yes
Nuriootpa,16.9,24.6,0,18.2,5,SSE,43,S,17,36,1014.3,7,24,No,No
Cobar,3.8,19.5,0,0.8,,NNW,17,W,7,28,1021.7,,18.8,No,No
NorfolkIsland,22,26.4,20.8,7.6,3,ENE,89,NE,31,84,1009.3,6,25,Yes,No
Cairns,17.3,27.7,0,4.8,9,SE,33,SE,20,59,1011.7,2,26.2,No,No
Penrith,18.8,26.4,2.6,,,NE,39,NNE,17,80,,,22.5,Yes,Yes
AliceSprings,22.5,33.4,0,16,12.2,SE,41,SE,19,16,1014.1,1,31.5,No,No
CoffsHarbour,19.4,,19.8,6.2,9.3,S,48,SSE,31,74,1014.5,6,23.6,Yes,Yes
Tuggeranong,16.1,22.9,2.6,,,ENE,35,ENE,20,50,1012.8,,21.6,Yes,No
WaggaWagga,8.1,14.9,3.8,2,0.6,SSE,39,S,17,64,1009,7,14.3,Yes,Yes
Wollongong,9.3,18.1,0,,,SSW,69,WSW,24,33,1013.7,,14.9,No,Yes
Cairns,25.1,32.2,0,,,E,48,ESE,20,72,1008.3,2,30.7,No,Yes
Albany,10,21,0,3.6,9.4,,,E,26,63,1021,1,19,No,No
MelbourneAirport,7.6,14.3,5.8,1.8,5.5,SW,41,SW,19,63,1018.8,2,13.6,Yes,No
MountGambier,4.8,17.4,0,2.4,7.2,N,41,N,19,54,1020.4,7,16.8,No,No
SalmonGums,17.6,25.6,0,,,SSW,50,SSW,33,34,,,23.1,No,No
Albany,12,19,1.2,1.6,3.4,,,W,11,80,1011.3,7,17.9,Yes,Yes
Darwin,23,30.6,2.4,4.2,4.3,S,59,WNW,28,72,1002.4,6,29.8,Yes,Yes
Nuriootpa,8.7,27.9,0,10.3,5.1,W,41,W,20,18,1010.8,,26.8,No,Yes
SydneyAirport,20.6,36.3,0,8.8,7.6,NNE,61,NE,11,44,1005.7,8,31.5,No,No
NorfolkIsland,13.9,20,0,4,3.8,E,33,E,9,50,1023.5,5,19.5,No,Yes
Tuggeranong,7.4,21.7,0,,,NW,20,NNW,9,54,1017.8,,20.3,No,Yes
Albany,13.4,21.2,0,4.4,0,,,SSW,20,78,1024.2,8,15.5,No,Yes
Albury,5.8,20.4,3.2,,,WNW,43,WSW,22,32,1015.9,2,19.4,Yes,No
Cobar,17,33.7,0,14,,SSW,33,SSW,20,4,1013.3,1,32.5,No,No
Cairns,22,31.6,3.2,5.8,10.1,SE,43,SE,33,54,1013.2,6,28.5,Yes,Yes
Mildura,3,18.4,0,1.8,9.2,E,20,SSE,7,39,1020.4,2,18.2,No,No
WaggaWagga,6,18.7,0,4,,WNW,43,WNW,28,49,1012,8,16.7,No,No
AliceSprings,-5,18.2,0,3.6,10.5,E,28,ENE,9,16,1022.4,0,17,No,No
Nuriootpa,8.9,26.5,0,7.8,12.1,WSW,50,SW,26,30,1013.5,2,25.7,No,No
SalmonGums,12.9,,1,,,,,S,31,36,,,20.8,No,No
GoldCoast,17.2,25.8,0,,,NNE,26,NE,19,62,1021.2,,24.3,No,No
Tuggeranong,13.3,20,,,,E,31,E,15,55,1018.8,,18.3,,No
MountGambier,9.9,15.9,6.6,2.2,0.2,SSW,35,SW,20,54,1020.9,8,14.3,Yes,No
PearceRAAF,13,23.6,0,,10.4,E,41,ESE,20,40,1023.7,0,22.8,No,No
CoffsHarbour,21.7,26.6,53.2,,,SE,37,SE,20,77,,,25.4,Yes,Yes
Townsville,18.7,28.8,0,8,7.7,ENE,43,ENE,31,57,1017,4,26.7,No,No
Cairns,25.3,30.3,0,8,2.5,SSE,52,SE,35,71,1009.7,8,29.3,No,Yes
AliceSprings,28.1,38.1,0,14.6,,ESE,57,NNE,26,35,1002.3,8,35.1,No,Yes
Townsville,25.9,30.1,6,5.4,7.5,E,39,ENE,20,82,1006,3,29.3,Yes,Yes
Ballarat,2.9,9.6,4.4,,,NW,56,WNW,33,82,1008.5,7,8.8,Yes,No
Sydney,19.9,27,1.8,8.8,8.1,SSE,37,ESE,20,49,1016.9,3,26.4,Yes,No
Albany,12.4,20.3,0,1.8,0.3,,,N,9,58,1010.4,8,20,No,Yes
Richmond,,30.6,0,25.1,,SSE,39,SE,24,52,1006.5,,28.4,No,Yes
AliceSprings,25.1,36.4,4.6,10.8,7,SSW,59,SSW,24,93,1004.9,8,24.3,Yes,Yes
BadgerysCreek,4.8,18.7,0.2,,,SW,31,WSW,15,53,1016.9,,18.4,No,No
Watsonia,17.4,30.8,0,4,8.8,WSW,35,SW,17,51,1017.1,6,28.7,No,No
MountGambier,9.8,23.2,0,5.6,9.3,NW,31,NW,19,44,1017.6,1,22.5,No,No
Canberra,1.6,18.6,2.8,,9,N,39,NNW,22,41,1022.4,1,18.1,Yes,No
Watsonia,8.3,14.2,2.6,2.4,0.8,NNW,35,NNW,19,70,1013.2,7,13.6,Yes,Yes
Albury,18.8,30.3,20.6,,,WSW,39,N,7,48,1009,1,29.4,Yes,Yes
Moree,6.6,24.7,0,,,NE,35,N,17,26,1011.3,,23.7,No,Yes
Katherine,,35.5,0,,,E,48,ESE,24,,1005.7,,,No,No
SydneyAirport,13.6,18.3,0,7.8,5.9,S,39,SE,19,46,1013.6,6,17.2,No,Yes
Moree,22.1,36.8,0,9.6,12.6,NNE,35,SSE,17,29,1005.5,1,34.3,No,No
Mildura,11.3,20.2,5,0,0,W,33,NNE,13,73,1018.5,8,19.9,Yes,Yes
Witchcliffe,10.8,24.3,0.2,,,WSW,30,SW,15,61,1016.9,,20.9,No,No
Mildura,13.4,30.3,0,11.8,12.5,SSW,39,S,13,17,1012.6,1,26.8,No,No
Williamtown,20,25.7,11,7.4,,S,65,SSW,33,91,1010.9,7,22.3,Yes,Yes
Tuggeranong,-3.5,11.2,2.6,,,N,30,NNW,19,57,1024.4,,10.7,Yes,No
CoffsHarbour,10,22,0,,,NE,37,NE,26,72,1018.6,,21,No,No
Adelaide,15,24.8,0,4,8.6,W,28,W,13,38,1012.1,,23.9,No,No
Canberra,14.5,28.2,19.6,,,W,48,NNW,13,53,1009.2,2,26.7,Yes,Yes
Nhil,15.9,26.2,0,,,SSE,52,SSW,15,75,1000.8,,20.9,No,Yes
Watsonia,17.4,22.1,8.4,3.2,0.7,SSE,50,S,17,74,1015.8,8,21,Yes,No
Sale,11,25.4,0,3.4,2.7,S,39,NE,7,43,1018.2,7,24.5,No,No
Newcastle,20.2,26.3,10.4,,,,,,,,,,,Yes,No
NorfolkIsland,15.1,20.6,0,5.4,2,ENE,41,ENE,28,77,1022.5,7,19.6,No,Yes
Richmond,21.1,28.8,0.2,5.8,,NNW,57,SSE,15,72,1001.8,1,25.7,No,Yes
AliceSprings,27.5,40.9,0,18,9.1,NW,59,NW,28,13,1003.5,5,38.8,No,No
Newcastle,17.8,31,0,,,,,SE,6,80,,1,30,No,No
Darwin,19.7,30.5,0,4.8,10.9,WNW,31,NNW,20,54,1010.8,2,29,No,No
SydneyAirport,16.4,19.8,1.4,2.2,1.1,ESE,39,E,26,81,1021.9,7,18.4,Yes,Yes
GoldCoast,13.1,18.5,11,,,SSE,43,S,11,97,1026,,17.3,Yes,Yes
PearceRAAF,12.5,31.1,0,,9.9,E,24,S,7,34,1018.7,,30,No,No
Bendigo,4.5,9.6,3.8,1.5,,N,31,N,17,97,1012.6,8,8.7,Yes,Yes
Albany,,19.2,0,5.6,,,,,,,1026.7,,,No,No
Portland,5.1,17.8,0,3.8,0.2,E,24,E,15,70,1015,8,17.1,No,Yes
SydneyAirport,18.6,21,0.6,1.6,0.1,N,33,N,17,78,1010.8,7,20.7,No,Yes
SydneyAirport,19.4,25.8,0,5,2.6,NE,39,ENE,28,70,1011.4,7,23.8,No,Yes
WaggaWagga,18.1,38.1,0,13.4,12.7,W,48,WSW,20,12,1007.7,6,37.6,No,No
PerthAirport,14.3,31,0,9.8,12,E,50,E,13,22,1012.1,6,30,No,No
Canberra,-1.5,15,0,1.2,5.6,,,NW,20,58,1024.6,7,13.7,No,Yes
Portland,6.8,20.4,0.2,2.2,10.3,W,35,W,24,63,1021.5,,19.1,No,No
Albury,5.6,23.1,0,,,N,24,NNW,11,44,1017.6,,22.8,No,No
BadgerysCreek,12.6,25.7,0,,,NNE,57,E,6,61,1015.1,,25.7,No,Yes
Mildura,2.6,19.9,0,,8.5,SE,20,SE,9,41,1032.7,,19.6,No,No
Canberra,14.3,23.7,0,,,E,37,NE,15,57,1010.5,8,21.5,No,Yes
BadgerysCreek,6.4,22.2,0,,,SSW,9,E,4,50,1025.1,,21.7,No,No
Watsonia,12.8,19.7,0,6.6,7,S,39,SSW,22,45,1022.7,7,17.7,No,No
Melbourne,4.7,11.4,0.8,1.4,6.9,N,48,N,20,64,1006.6,7,10.7,No,No
Albany,6.4,15.6,14.6,3.8,9.3,,,NW,13,52,1006.9,6,15.2,Yes,Yes
Townsville,13.9,26.1,0,5.4,9.5,ENE,28,ENE,19,64,1013.4,1,25,No,No
Walpole,5.5,16.4,24.2,,,NW,52,WNW,22,74,1014.1,,14.9,Yes,Yes
Witchcliffe,9.5,17.1,9,,,WSW,39,W,17,68,1017,,16.3,Yes,Yes
Woomera,13.7,29.4,0,6.6,,S,33,WNW,11,16,1019.9,,28.5,No,No
Adelaide,13.3,19,0.6,,,W,43,WNW,11,76,1019.6,,16.6,No,Yes
Watsonia,9.6,19,0.2,4.8,3.6,SE,26,SSE,11,55,1015.1,7,16.9,No,Yes
Brisbane,15.1,22.8,5.4,1.6,4.4,SE,41,ESE,11,70,1010.4,6,20.5,Yes,Yes
WaggaWagga,10.7,14.1,6.4,0.4,0,NNW,24,N,9,87,1021.4,8,13.8,Yes,Yes
Bendigo,14.6,29.3,0,,,S,44,SSE,17,39,1011.1,,26.6,No,No
Witchcliffe,11.6,19.6,24,,,S,54,S,26,54,1014.4,,16.1,Yes,Yes
Darwin,24.4,33.2,4.6,6.6,10,SSW,46,WNW,22,55,1008.6,5,32.7,Yes,Yes
PerthAirport,3.9,17.6,0,3,4,W,35,W,20,58,1018.7,8,16.8,No,Yes
Katherine,23,37.6,0,7,,WNW,20,NNW,11,,1008.9,,,No,No
WaggaWagga,4.1,12.1,0.6,1.2,3.3,WNW,28,WSW,17,65,1009.6,7,10.9,No,No
Moree,12,32.7,0,7.6,11.2,SSW,50,S,26,19,1012.4,2,31.7,No,No
Bendigo,1.1,15.5,0,,,WNW,17,SSW,7,57,1029.9,3,14.2,No,No
Walpole,9.7,21.3,0,,,WNW,43,NW,19,51,1008.5,,20.9,No,Yes
Cairns,25.8,33.3,1.4,3.8,,ENE,33,ENE,24,60,999.9,8,32.8,Yes,Yes
PerthAirport,6.2,18.1,0,2.2,4.1,NW,39,NW,22,72,1016.4,7,15.7,No,Yes
GoldCoast,21.4,28.5,0.8,,,S,37,SE,24,56,1007.2,,28,No,No
Watsonia,15.7,21.5,19.4,9.4,5,W,57,W,30,54,1001.4,7,20.8,Yes,Yes
Mildura,10.7,24.7,0,4,9.8,SSW,35,N,9,23,1019.9,,24.2,No,No
MelbourneAirport,10,16.1,0,5.4,5.8,N,72,N,37,61,1006.2,5,15.8,No,Yes
Williamtown,8.9,28.6,0,,,WNW,46,WNW,20,21,1013.2,,27,No,No
PerthAirport,7.1,17.4,3.2,4.6,6.6,W,31,SW,19,65,1020.2,4,16.2,Yes,No
BadgerysCreek,10.4,24.1,0.2,,,ESE,35,E,13,45,1017.6,,23.2,No,No
Canberra,8.9,14.1,0.6,3.6,,,,,,76,,,10.5,No,Yes
Richmond,5.7,16.8,0,,,S,15,SSW,4,75,1024.9,,15.7,No,Yes
Dartmoor,12.6,27.2,0,6.2,8.5,SE,33,SSW,22,62,1017.7,,23.9,No,No
Mildura,4,23.7,0,5.6,10.5,NNE,28,NW,9,23,1021.4,0,22.3,No,No
Dartmoor,9.7,28.9,0,6.2,9.5,ESE,44,ESE,15,45,1012.6,,26.8,No,No
Perth,23.8,28.5,2.8,11,2.4,NNW,43,WSW,19,60,999.9,6,27.3,Yes,Yes
GoldCoast,14.6,17,2.6,,,SSE,56,S,39,99,1023.7,,15.2,Yes,Yes
Katherine,26.5,36,0,8,,N,43,E,19,,1006.3,,,No,Yes
Townsville,17.6,27.5,0,8,11.1,NE,41,ENE,31,49,1017,1,26.3,No,No
Richmond,13.7,27,0,10.2,,NNE,26,NE,15,46,1013.5,,25.3,No,No
SydneyAirport,20.7,29.1,0,5.4,8.2,NE,50,NE,33,57,1014.9,5,27.6,No,No
Albany,8.4,13.6,3.4,5.6,4.6,,,SW,31,65,1009.9,7,12.6,Yes,Yes
Launceston,4.5,19.2,0,,,SSE,17,N,7,43,,,18,No,No
NorfolkIsland,18.6,21.1,3.6,1.8,0.4,WNW,37,WNW,13,93,1011,8,18.2,Yes,Yes
Perth,16.4,30.2,0,7.6,9.2,NE,48,ENE,13,16,1015.7,6,28.4,No,No
Launceston,-1.1,10.8,0,,,NNW,24,NNW,13,67,,8,10,No,Yes
PerthAirport,9.4,20.3,0.6,1.6,6.1,SW,50,W,24,68,1017.5,3,18.8,No,Yes
WaggaWagga,0.4,17.7,0,1.6,8.7,,,NNW,24,37,1017.2,5,17.4,No,Yes
Brisbane,12.6,23.3,0,8.2,11.4,ENE,28,ENE,13,42,1022.1,1,22.5,No,No
Witchcliffe,14.1,19.8,0.6,,,S,30,S,19,82,1016.9,,19.3,No,Yes
SalmonGums,14.4,28.7,0,,,SSE,39,E,20,30,,,27.1,No,No
Brisbane,23.1,30.5,29.8,6.4,7.4,NE,28,ESE,11,51,1015,6,29.5,Yes,Yes
Portland,5,17.2,3,0.8,6.3,SSE,54,NNE,13,61,997.3,5,16.1,Yes,Yes
AliceSprings,16.6,38.3,0,8.8,10.9,NNW,35,NNE,11,8,1013.5,5,37.1,No,No
Melbourne,9.5,13.5,0.2,2.6,0.2,W,52,NW,19,65,1002.4,8,12.6,No,Yes
Albany,13.1,17.2,0.4,2,7.8,,,WSW,33,70,1016.2,5,16.1,No,Yes
Darwin,22.3,31.8,25.8,7.4,7.4,ESE,41,SE,22,53,1007.7,6,31.1,Yes,Yes
Albury,17.8,29.7,0.4,,,NNE,39,N,22,42,1010,7,27.3,No,Yes
SydneyAirport,22.8,32.8,0,8.6,8.9,NE,74,NE,50,49,1000.7,1,32.3,No,No
MountGinini,0.9,10.7,0,,,W,24,NNW,7,68,,,9.5,No,No
Wollongong,20,24.9,31,,,ENE,31,SE,24,84,1014.1,,24.4,Yes,Yes
Ballarat,7.6,14,0.4,,,SW,59,SW,24,57,1015.9,4,13,No,Yes
Katherine,26,35.6,0,7.2,,N,44,W,15,37,1005.5,3,34.4,No,No
Launceston,3.5,14.5,0,,,N,30,N,13,65,1017.5,,13.4,No,Yes
SydneyAirport,18.6,20.6,18.4,5.4,0,S,43,SSE,20,94,1012.7,8,19.1,Yes,Yes
BadgerysCreek,5.9,21.9,0,,,NW,44,NW,22,28,1011.6,,21.4,No,No
Canberra,-0.6,16.8,0,1.2,7,E,15,E,7,49,1023.2,6,14.8,No,No
PerthAirport,10.1,33.9,0,6.8,12.2,SW,39,SW,17,20,1012.8,1,33.4,No,No
WaggaWagga,14.2,28.9,0,3.8,9.9,E,19,ESE,11,40,1013.7,6,28.2,No,No
SalmonGums,16.4,26.8,2.8,,,SW,41,S,9,54,,,25.4,Yes,Yes
Launceston,19,23.7,0,,,NNW,57,NNW,17,90,1000.1,,13.4,No,Yes
Launceston,7.6,23.3,0,,,NW,39,NW,17,50,1013,,22.8,No,Yes
Darwin,19.7,30.4,0,4.8,8.7,N,26,NW,13,43,1008.9,6,30,No,No
Albany,7.5,16,0.6,4,,,,,,,1018.4,,,No,Yes
Nuriootpa,5.5,22.7,0,2.8,6.7,N,26,NW,7,24,1019.4,3,22.1,No,No
Melbourne,15.8,20.1,0,2.8,2.2,N,61,NNW,22,55,1001.2,7,19.7,No,Yes
Nuriootpa,16.2,23.4,0,13.6,9.9,SW,56,WSW,28,32,1013.8,5,22.4,No,No
Perth,25.4,41.9,0,15.6,11.6,NNE,56,SE,11,18,1003.4,1,41.5,No,Yes
Katherine,17.5,35.5,0,1.6,,SE,24,SE,15,,1010.7,,,No,No
Albany,14.6,19,0,6.4,,,,,,,1018.9,,,No,No
Dartmoor,12.4,29.6,0,5.4,1.1,NNW,63,NNW,35,,1010.4,,29,No,Yes
PerthAirport,10.7,22.4,0,8,5.5,WSW,52,NW,30,53,1008.1,7,20,No,Yes
Bendigo,8,14.7,0,,,ENE,30,ENE,15,63,1022.1,,14.2,No,Yes
Ballarat,8,14.1,0,,,NNW,30,NNW,20,74,1019.5,8,13.7,No,No
Townsville,20.2,28.2,0,9.6,9.7,NE,37,NE,31,55,1016.7,3,26,No,No
Albany,13.1,20.1,0,1.2,1.6,,,ESE,7,62,1027.1,6,18.6,No,Yes
AliceSprings,12.6,25.3,0,9.6,4,ESE,33,SSE,19,13,1017.1,6,24.9,No,No
Bendigo,8,21.5,0,,,W,54,W,31,37,1008.4,6,20.4,No,No
Canberra,5.2,19.6,2.4,,,NW,54,NW,33,37,1011.5,1,18.6,Yes,No
Tuggeranong,7.1,15.5,2.6,,,SSE,39,WNW,11,41,1019.1,,15.1,Yes,No
BadgerysCreek,11.2,17.6,0,,,E,20,ENE,7,98,1009.6,,15.9,No,Yes
Townsville,25.5,31.8,28,1,9.7,NE,35,ENE,19,78,1002.8,7,30.4,Yes,Yes
Witchcliffe,7.8,13.5,3.2,,,SW,52,SSW,22,79,1016.2,,10.7,Yes,Yes
PearceRAAF,9.1,23.4,0,,9.3,WSW,43,WSW,31,50,1014.5,6,20.2,No,No
Tuggeranong,11.4,26.9,12.8,,,ENE,37,NE,9,54,1014.6,,26,Yes,Yes
Albury,6.4,11.3,9.4,,,NW,33,WNW,17,64,1021.6,8,10.2,Yes,Yes
MelbourneAirport,13.8,20.1,8.2,0.6,3.2,S,54,SSE,28,60,1012.6,7,18.4,Yes,No
Walpole,16.5,21.9,0,,,SE,41,ESE,22,66,1016.3,,20.5,No,No
Tuggeranong,16.7,25.7,0.2,,,,,N,22,70,1010,,22.8,No,Yes
Tuggeranong,16.3,18.6,7.2,,,SW,41,NNW,15,95,1008.9,,17,Yes,Yes
Albany,17.9,22.6,0,7.4,6.5,,,SSW,15,77,1008.4,7,21.6,No,Yes
Walpole,12.9,29,0,,,NE,43,N,9,37,1015.8,,27.2,No,No
Sale,-0.2,13,0,,,ESE,20,SE,15,79,1021.3,7,12.1,No,No
Canberra,7.8,28.7,0,5.2,12.2,NNW,41,WNW,24,36,1013.2,3,27.8,No,No
Perth,19.5,31,0,10.6,2,E,39,E,9,26,1013.1,8,29.9,No,No
Brisbane,21,31.9,0,6.4,9.7,SE,48,NE,15,64,1007.9,7,28.2,No,Yes
Tuggeranong,2.6,9,12.6,,,WNW,65,N,6,95,1001.1,,5.9,Yes,Yes
Williamtown,4.4,17.2,0,2.8,8.2,WNW,56,WNW,30,44,1005.2,2,15.5,No,No
BadgerysCreek,16,22.5,0.2,,,N,28,NNE,11,93,1010.6,,20,No,Yes
SydneyAirport,10.5,16.4,10,0.8,3.3,SW,43,SSE,22,76,1026.4,6,15.2,Yes,Yes
Mildura,11.8,14.6,0,3.4,0,ESE,46,NE,15,84,1018,8,13.3,No,Yes
Launceston,7.8,18.2,0.4,,,NW,17,NW,9,74,,2,18,No,No
Dartmoor,8.2,16.3,0.8,1.4,6.6,NW,56,NNW,26,71,1013.3,,15.2,No,Yes
Walpole,6.3,17.4,0,,,NNE,26,NNW,6,63,1025.9,,16.6,No,Yes
BadgerysCreek,3.7,20.6,0,,,WNW,22,WNW,13,48,1010,,20.4,No,No
Townsville,23.2,33.6,0,4.6,11.5,NE,30,ENE,15,54,1002.9,3,32.7,No,No
Woomera,5.6,19.7,0,2.2,0,N,20,ESE,7,28,1025.9,,19.2,No,No
Melbourne,8.4,13,2.8,0.6,0.2,WSW,48,W,20,84,1019.1,8,12.1,Yes,Yes
NorfolkIsland,10.3,18,0,2.6,9.3,N,30,NNE,13,51,1019.8,1,17.3,No,No
